
Note: No compatibility mode selected!


Circuit: tb001-page5-power-boundary-fds6574-bank

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vin_src                                    1.8
en                                           0
vin                                        1.8
pgate                                      1.8
vout                               1.28016e-10
vctrl#branch                                 0
vmain1p8#branch                   -5.45342e-12


No. of Data Rows : 632
                    tb001-page5-power-boundary-fds6574-bank
                    Transient Analysis  Sat Jun 13 12:38:50  2026
--------------------------------------------------------------------------------
Index   time            v(vin)          v(en)           v(pgate)        
--------------------------------------------------------------------------------
0	0.000000e+00	1.800000e+00	0.000000e+00	1.800000e+00	
1	2.000000e-07	1.800000e+00	0.000000e+00	1.800000e+00	
2	4.000000e-07	1.800000e+00	0.000000e+00	1.800000e+00	
3	8.000000e-07	1.800000e+00	0.000000e+00	1.800000e+00	
4	1.600000e-06	1.800000e+00	0.000000e+00	1.800000e+00	
5	3.200000e-06	1.800000e+00	0.000000e+00	1.800000e+00	
6	6.400000e-06	1.800000e+00	0.000000e+00	1.800000e+00	
7	1.280000e-05	1.800000e+00	0.000000e+00	1.800000e+00	
8	2.560000e-05	1.800000e+00	0.000000e+00	1.800000e+00	
9	4.560000e-05	1.800000e+00	0.000000e+00	1.800000e+00	
10	6.560000e-05	1.800000e+00	0.000000e+00	1.800000e+00	
11	8.560000e-05	1.800000e+00	0.000000e+00	1.800000e+00	
12	1.056000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
13	1.256000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
14	1.456000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
15	1.656000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
16	1.856000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
17	2.056000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
18	2.256000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
19	2.456000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
20	2.656000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
21	2.856000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
22	3.056000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
23	3.256000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
24	3.456000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
25	3.656000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
26	3.856000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
27	4.056000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
28	4.256000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
29	4.456000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
30	4.656000e-04	1.800000e+00	0.000000e+00	1.800000e+00	
